Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
JDF,2.9,0.69,666900.0,1935.0,1752.0,61.59,2.63,0.35,,0.05,2.77,1.94,2.24,,25.0,1137.0,1090.0,11.01
JKN,3.14,-0.63,7957100.0,25370.0,2344.0,14.7,0.68,1.88,,0.21,6.3,5.28,10.85,,39.65,720.0,558.0,4.38
JMART,29.25,7.34,59441700.0,1724887.0,42262.0,23.55,2.18,0.8,0.66,1.23,7.4,9.91,12.18,3.76,39.53,692.0,658.0,-0.66
JMT,47.5,3.83,35579100.0,1667561.0,69310.0,39.7,3.01,0.47,0.59,1.15,5.43,8.3,39.06,2.36,45.93,859.0,872.0,1.07
JP,4.22,-0.47,9191.0,3925.0,1920.0,,2.05,,0.01,0.0,,,,0.31,,,,
JR,6.75,0.0,94100.0,634.0,5130.0,29.63,3.10,0.55,0.14,0.23,6.47,10.67,8.83,2.07,42.56,729.0,757.0,1.0
JSP,3.82,1.6,3570700.0,13631.0,1775.0,,1.90,0.28,0.01,0.0,-2.35,-4.29,-9.66,0.35,31.45,,,
JTS,40.75,3.82,1497600.0,60918.0,30201.0,146.52,37.17,2.59,,0.29,15.95,29.05,7.97,,27.86,640.0,669.0,0.81
JUBILE,27.5,0.0,58800.0,1602.0,4749.0,13.82,3.31,0.72,0.38,1.97,23.17,25.84,17.97,1.89,45.0,282.0,242.0,1.58
JWD,19.7,-1.01,29636.0,58841.0,20094.0,35.39,5.31,,0.78,0.56,,,,1.26,,,,-0.03
K,1.47,0.0,98200.0,143.0,695.0,,2.16,2.26,,0.0,-3.04,-14.24,-3.43,,49.61,,,
KAMART,7.8,-2.5,7465500.0,58773.0,6996.0,26.17,5.80,0.61,0.07,0.3,18.74,22.89,15.33,2.31,72.49,480.0,445.0,1.64
KASET,1.57,0.0,428000.0,673.0,442.0,,1.39,1.67,,0.0,-7.92,-20.17,-11.09,,32.16,,,
KBANK,139.0,0.72,24619100.0,3420893.0,326967.0,7.69,0.65,6.59,0.50,17.94,1.06,8.81,26.3,2.34,79.86,430.0,709.0,11.55
KBS,5.0,-2.91,395000.0,1991.0,3060.0,6.4,1.02,3.22,,0.8,7.11,16.78,9.16,,37.52,203.0,343.0,-0.04
KC,0.19,0.0,1793200.0,325.0,614.0,,1.70,1.6,,0.0,-3.12,-20.51,-20.51,,53.0,,,
KCAR,8.45,0.6,76400.0,642.0,2138.0,9.64,0.94,1.41,0.19,0.89,4.09,9.95,7.97,5.09,20.89,442.0,589.0,-1.44
KCC,6.35,-6.62,7880700.0,50518.0,3999.0,51.14,3.69,0.59,0.04,0.13,5.42,8.63,45.82,,25.19,882.0,903.0,-6.43
KCE,47.25,2.72,9775600.0,459393.0,55848.0,24.1,4.17,0.56,1.00,1.96,11.93,17.31,12.33,3.38,59.04,519.0,514.0,2.66
KCM,0.64,-3.03,261600.0,169.0,449.0,,1.02,0.45,,0.0,-0.36,-1.37,-0.04,,36.95,,,
KDH,95.25,0.53,18200.0,1728.0,1851.0,22.84,3.02,0.31,0.75,4.18,14.27,14.46,7.51,0.79,35.94,545.0,448.0,-0.12
KEX,15.7,1.29,1080200.0,16829.0,27358.0,,3.72,0.86,,0.0,-29.24,-43.54,-16.51,,30.3,,,
KGEN,1.55,5.44,2302900.0,3481.0,1698.0,,2.56,0.19,,0.0,-9.21,-9.83,-25.0,,28.55,,,
KGI,5.1,0.99,961200.0,4881.0,10158.0,8.11,1.37,1.23,0.55,0.63,5.57,17.15,29.41,10.78,65.02,228.0,447.0,0.22
KIAT,0.49,2.08,406200.0,195.0,1483.0,14.35,1.30,0.12,0.01,0.03,10.63,9.27,11.84,4.08,48.51,569.0,408.0,0.05
KISS,9.7,3.74,2209800.0,21189.0,5790.0,55.48,6.23,0.21,0.06,0.17,11.13,11.36,14.07,1.60,34.22,803.0,699.0,0.79
KJL,16.6,0.0,249900.0,4124.0,0.0,,-,,-,0.0,,,,-,25.58,,,
KK,2.54,1.6,800.0,2.0,623.0,53.29,3.53,1.24,0.02,0.05,4.64,6.76,0.96,0.75,27.96,953.0,960.0,-2.57
KKC,0.36,0.0,105500.0,37.0,555.0,,,-70.43,,0.0,-9.08,-253.36,-11.73,,44.01,,,
KKP,67.5,1.5,4117500.0,277019.0,56521.0,6.89,1.06,8.82,1.75,9.68,1.75,15.99,31.83,4.37,92.73,231.0,661.0,2.08
KLINIQ,35.0,0.72,1277400.0,44922.0,0.0,,-,,-,0.0,,,,-,31.49,,,
KOOL,0.56,1.82,1500000.0,827.0,1360.0,52.67,0.98,0.14,,0.01,3.02,2.99,6.98,,68.78,1094.0,1065.0,2.69
KSL,3.6,-1.1,2101000.0,7623.0,15965.0,12.09,0.76,0.95,0.07,0.3,5.17,6.53,7.93,3.61,27.02,621.0,584.0,-0.06
KTB,17.2,2.99,48945900.0,835913.0,240388.0,7.88,0.66,8.78,0.42,1.2,0.94,8.53,28.2,2.50,44.93,442.0,726.0,-2.7
KTC,58.5,0.86,3641200.0,212734.0,150188.0,21.22,4.79,2.22,1.15,2.75,7.38,24.33,30.55,1.97,40.65,418.0,629.0,1.04
KTIS,3.72,1.64,31900.0,118.0,14128.0,,2.41,1.62,,0.0,-3.43,-9.7,-5.07,,20.81,,,
KTMS,4.04,1.0,768300.0,3077.0,0.0,,-,,-,0.0,,,,-,25.15,,,
KUMWEL,2.14,1.9,136100.0,288.0,920.0,16.31,1.75,0.55,0.06,0.11,10.13,11.05,8.73,2.86,33.49,541.0,460.0,0.53
KUN,2.2,0.92,441200.0,966.0,1510.0,11.02,2.29,2.0,0.05,0.14,10.44,22.33,12.41,5.96,42.59,252.0,345.0,0.15
KWC,248.0,0.0,300.0,74.0,1506.0,16.59,1.98,0.17,10.00,15.13,12.98,12.19,28.76,4.03,66.14,502.0,385.0,2.66
KWI,2.52,3.28,1075600.0,2698.0,5111.0,,1.95,3.35,,0.0,-0.47,-6.31,-4.79,,8.54,,,
KWM,2.36,2.61,4884700.0,11371.0,1103.0,26.26,2.27,0.44,0.10,0.09,7.92,9.5,7.29,4.04,41.48,731.0,671.0,0.57
KYE,303.0,-0.66,400.0,121.0,6019.0,92.5,0.77,0.2,8.55,3.29,0.17,0.82,1.84,2.82,29.49,1207.0,1255.0,1.76
L&E,2.02,1.51,96700.0,194.0,994.0,14.8,0.86,2.06,0.09,0.14,3.49,5.85,1.36,4.27,36.1,708.0,746.0,14.65
LALIN,9.25,0.54,100000.0,924.0,8556.0,6.37,0.99,0.55,0.31,1.45,12.83,16.25,20.44,6.85,29.28,214.0,170.0,0.27
LANNA,15.5,1.97,535400.0,8233.0,8137.0,2.86,1.11,0.54,1.45,0.56,54.56,43.84,12.86,10.53,37.31,31.0,10.0,0.03
LDC,1.15,-0.86,12819300.0,14837.0,696.0,27.54,2.97,1.07,,0.04,7.01,11.55,6.25,,25.18,668.0,710.0,-1.48
LEE,2.42,0.0,16700.0,40.0,2232.0,30.06,0.84,0.13,0.13,0.08,2.56,2.81,0.79,5.37,46.65,1007.0,989.0,334.0
LEO,11.6,1.75,999100.0,11579.0,3744.0,9.85,3.99,0.93,0.20,1.19,29.98,46.21,7.41,2.19,50.81,138.0,136.0,0.12
LH,9.8,0.51,15935100.0,156018.0,117107.0,14.05,2.36,1.46,0.25,0.7,9.04,17.08,23.94,5.10,64.76,371.0,448.0,-4.87
LHFG,1.15,-1.71,3314300.0,3836.0,24361.0,28.3,0.68,6.7,0.01,0.04,0.33,2.32,20.67,3.46,17.53,1000.0,1093.0,-2.46
LHK,4.94,-0.8,190600.0,944.0,1892.0,14.4,1.42,0.33,0.19,0.34,10.98,9.44,3.81,13.16,33.25,554.0,392.0,1.06
LIT,1.72,-1.15,353700.0,609.0,762.0,,0.67,0.77,,0.0,-6.69,-14.44,-48.43,,62.3,,,
LOXLEY,2.14,0.0,316600.0,678.0,4847.0,54.75,0.84,1.49,0.07,0.04,2.45,1.54,2.2,3.27,68.18,1141.0,1098.0,-0.79
LPH,5.65,0.0,48600.0,275.0,4068.0,12.19,2.22,0.4,0.05,0.46,14.92,18.81,15.13,5.31,51.12,315.0,278.0,0.26
LPN,4.32,1.41,2160900.0,9326.0,6282.0,10.26,0.53,0.93,0.12,0.42,4.05,5.25,6.83,5.09,86.89,634.0,608.0,-0.39
LRH,34.5,1.47,9600.0,333.0,5834.0,,0.61,1.3,,0.0,-0.57,-4.38,-5.19,,12.16,,,
LST,5.0,-2.91,1647000.0,8285.0,4100.0,9.31,0.94,0.5,0.25,0.54,10.26,10.33,3.1,4.85,30.4,418.0,304.0,0.68
M,55.0,1.38,955700.0,52222.0,50648.0,33.39,3.86,0.43,0.50,1.65,9.96,11.71,9.54,1.47,36.19,707.0,659.0,-1.31
M-CHAI,366.0,0.0,2700.0,986.0,5760.0,10.92,2.61,2.7,7.00,32.97,6.67,26.89,8.47,1.91,40.21,220.0,472.0,0.17
MACO,0.59,5.36,9167900.0,5256.0,4790.0,271.46,1.26,0.52,,0.0,-1.05,-1.17,5.62,,38.28,,,-9.41
MAJOR,18.2,1.11,1163200.0,20951.0,16283.0,58.93,2.50,1.12,0.60,0.31,3.22,3.81,3.65,8.89,57.78,1075.0,1067.0,-0.54
MAKRO,40.25,0.63,4694600.0,188266.0,423213.0,29.56,1.47,0.85,0.18,1.35,7.54,9.23,1.51,1.25,15.04,775.0,718.0,1.15
MALEE,6.1,1.67,123500.0,742.0,3356.0,,2.85,4.8,,0.0,-0.11,-13.56,-1.51,,49.05,,,
MANRIN,31.0,0.0,1000.0,34.0,834.0,,2.43,0.93,,0.0,-7.28,-18.3,-48.6,,38.74,,,
MASTER,80.25,0.0,482400.0,38710.0,0.0,,-,,-,0.0,,,,-,31.8,,,
MATCH,1.95,1.04,200200.0,400.0,1524.0,,1.20,0.21,,0.0,-1.8,-3.02,-17.32,,12.27,,,
MATI,7.95,0.0,5000.0,40.0,1474.0,19.35,0.97,0.28,0.45,0.41,4.9,5.01,11.2,5.66,28.28,820.0,734.0,-1.36
MAX,0.01,0.0,0.0,0.0,0.0,,,0.21,5.5,0.0,-2.29,-3.64,-114.42,,42.6,,,
MBAX,5.45,1.87,930500.0,5025.0,1036.0,8.45,1.75,1.43,0.38,0.64,13.56,29.93,8.58,9.17,55.83,144.0,205.0,0.23
MBK,18.1,0.56,3697400.0,66250.0,34342.0,,1.57,1.53,0.40,0.0,2.05,-1.6,1.29,,46.23,,,
MC,11.9,0.0,1703500.0,20262.0,9425.0,15.89,2.47,0.4,0.45,0.75,13.92,15.62,15.06,5.04,43.17,435.0,361.0,-1.97
MCOT,4.66,-0.43,20500.0,95.0,3202.0,,0.48,0.51,,0.0,0.38,-0.09,-6.88,,22.72,,,
MCS,9.95,1.02,859900.0,8547.0,4746.0,9.95,1.21,0.48,0.50,1.0,9.01,11.34,4.3,12.89,97.96,398.0,361.0,0.66
MDX,4.48,0.9,14900.0,66.0,2188.0,15.42,0.49,0.06,,0.3,3.82,3.96,36.25,,71.64,775.0,728.0,0.13
MEB,45.0,7.78,3132400.0,135843.0,0.0,,-,,-,0.0,,,,-,25.0,,,
MEGA,48.0,1.05,1616000.0,77326.0,41850.0,17.9,4.91,0.65,0.75,2.68,20.29,29.23,15.52,2.91,39.54,342.0,336.0,0.85
MENA,1.91,0.53,1021600.0,1939.0,1402.0,31.86,1.69,0.4,0.03,0.06,5.44,5.36,6.1,1.58,41.21,936.0,828.0,
META,0.33,0.0,5528900.0,1821.0,708.0,,0.31,1.88,,0.0,-0.54,-2.77,-46.72,,75.5,,,
METCO,258.0,-0.39,4500.0,1159.0,5392.0,8.91,0.83,0.53,18.00,28.96,10.06,11.38,3.77,6.98,28.61,369.0,303.0,-0.24
MFC,24.3,-0.41,13300.0,322.0,3040.0,12.86,2.56,0.27,2.15,1.88,15.2,19.6,21.47,8.85,28.58,319.0,288.0,0.7
MFEC,7.85,1.29,108800.0,854.0,3465.0,14.17,1.76,1.81,0.40,0.55,6.11,12.66,3.54,5.16,44.66,451.0,559.0,-0.15
MGT,3.36,-4.0,1103200.0,3682.0,1344.0,13.84,2.43,0.31,0.03,0.24,16.14,18.15,8.61,4.29,22.8,346.0,292.0,0.5
MICRO,4.28,3.38,576500.0,2438.0,4002.0,32.24,2.04,1.44,0.08,0.13,2.63,6.4,12.54,1.86,35.53,893.0,1000.0,1.06
MIDA,0.45,0.0,300300.0,137.0,1152.0,,0.34,1.34,,0.0,1.11,-5.75,-10.97,,55.11,,,
MILL,0.78,2.63,5328300.0,4106.0,4333.0,20.14,0.63,1.88,0.01,0.04,3.79,3.29,1.28,1.07,36.71,875.0,810.0,-0.59
MINT,33.25,-0.75,8827100.0,292553.0,174075.0,212.71,2.41,5.71,,0.16,2.44,1.3,2.69,,61.28,1217.0,1163.0,-4.13
MITSIB,1.16,0.87,171200.0,200.0,870.0,22.04,1.17,1.15,0.02,0.05,2.55,5.44,6.44,1.30,70.59,834.0,904.0,-0.7
MJD,1.59,1.27,24200.0,38.0,1368.0,,0.27,2.15,,0.0,0.37,-8.32,-15.66,,46.15,,,
MK,2.76,0.0,55600.0,153.0,3012.0,,0.47,2.19,,0.0,,,,,41.42,,,
ML,1.11,0.91,104700.0,117.0,1193.0,13.12,0.56,0.91,,0.09,2.23,4.38,20.9,,49.75,723.0,780.0,-5.17
MODERN,3.18,-2.45,542500.0,1731.0,2400.0,62.45,1.06,0.48,0.07,0.05,1.97,1.69,0.81,3.77,81.82,1149.0,1135.0,-6.87
MONO,1.73,4.85,18979700.0,32050.0,6005.0,44.68,4.12,2.09,,0.04,,,,,38.27,,,-0.51
MOONG,2.34,1.74,301200.0,700.0,790.0,17.98,0.74,0.27,0.21,0.13,3.54,4.16,3.71,4.57,31.47,821.0,800.0,2.12
MORE,0.35,0.0,7654300.0,2706.0,2512.0,2.35,1.17,0.21,,0.15,94.86,121.93,18.35,,42.72,7.0,4.0,
MOSHI,44.25,0.57,364700.0,16140.0,0.0,,-,,-,0.0,,,,-,25.0,,,
MPIC,2.16,0.93,3444400.0,7587.0,2782.0,88.81,6.11,0.3,,0.02,5.01,7.15,8.59,,7.54,976.0,983.0,-0.64
MSC,9.65,3.21,79600.0,766.0,3474.0,12.22,1.69,1.11,0.38,0.79,,,,4.06,30.92,,,2.96
MST,11.8,2.61,154300.0,1811.0,6736.0,10.87,1.39,3.15,0.33,1.09,,,,8.35,16.5,,,-2.43
MTC,35.0,2.94,9517200.0,332001.0,74200.0,14.66,2.65,3.4,0.37,2.39,4.71,19.56,27.4,1.09,32.1,352.0,657.0,0.48
MTI,123.5,-0.4,3600.0,445.0,7287.0,8.67,1.24,4.28,5.20,14.24,2.79,14.41,8.37,4.19,45.35,292.0,643.0,1.2
MTW,6.15,0.0,4227000.0,25370.0,0.0,,-,0.93,-,0.0,,,,-,25.82,,,
MUD,2.56,0.79,41400.0,103.0,2697.0,,1.25,1.39,,0.0,1.78,-0.08,-0.43,,17.75,,,
MVP,2.84,2.9,444100.0,1263.0,880.0,,2.07,0.48,,0.0,,,,,47.16,,,
NATION,0.11,10.0,798700.0,86.0,1220.0,2.77,1.00,1.31,,0.04,42.58,210.8,56.84,,50.83,10.0,16.0,-0.02
NBC,2.02,2.54,9026.0,1794.0,2271.0,,3.42,,,0.0,,,,,,,,
NC,14.5,29.46,98700.0,1376.0,217.0,39.01,0.51,0.93,,0.37,0.19,1.33,0.39,,30.3,1104.0,1165.0,-0.33
NCAP,4.7,4.91,17703000.0,82215.0,6318.0,34.62,1.52,1.05,,0.14,2.71,6.03,6.6,,36.9,923.0,1013.0,0.61
NCH,1.58,0.64,1133200.0,1784.0,1992.0,5.58,0.65,0.63,0.08,0.29,10.12,12.15,14.24,5.06,38.03,278.0,236.0,0.03
NCL,2.86,0.7,4013000.0,11388.0,1511.0,47.64,2.25,0.95,,0.06,5.16,6.26,0.04,,78.01,967.0,916.0,-0.31
NDR,2.3,0.88,391100.0,899.0,798.0,89.46,0.89,0.29,0.03,0.03,0.92,1.01,-0.78,1.32,29.86,1200.0,1220.0,-0.88
NEP,0.27,0.0,24000.0,6.0,605.0,,0.96,0.12,,0.0,-8.25,-9.6,-15.83,,33.42,,,
NER,6.05,3.42,15221300.0,90801.0,11179.0,5.64,1.80,1.72,0.07,1.07,15.85,36.57,7.63,6.93,59.19,67.0,122.0,0.07
NETBAY,27.25,0.93,483600.0,13171.0,5450.0,35.23,12.67,0.38,0.79,0.77,33.24,35.93,35.82,2.94,49.0,494.0,472.0,2.46
NEW,78.0,3.31,100.0,8.0,780.0,8.51,1.74,0.48,0.35,9.16,20.52,22.6,20.82,0.46,18.01,186.0,137.0,0.1
NEWS,0.04,0.0,22474300.0,841.0,4226.0,,4.00,0.05,,0.0,-6.63,-7.13,-53.23,,62.56,,,
NEX,17.4,-1.69,3991600.0,69584.0,29135.0,,10.61,0.73,,0.0,-2.72,-4.65,-6.46,,39.96,,,
NFC,5.05,-0.98,545100.0,2759.0,5602.0,13.26,4.12,4.35,,0.39,9.86,36.62,4.03,,11.92,227.0,407.0,-0.01
NINE,6.75,1.5,6500.0,43.0,10729.0,,2.56,0.05,,0.0,-4.35,-4.52,-65.51,,14.6,,,
NKI,40.75,0.0,0.0,0.0,1467.0,33.29,0.69,1.94,1.50,1.22,0.7,2.05,-0.07,3.67,56.91,1046.0,1117.0,1.25
NNCL,2.06,3.0,5812100.0,11805.0,4219.0,17.93,1.25,0.3,0.05,0.11,6.76,7.02,22.8,5.69,20.31,708.0,601.0,0.65
NOBLE,5.4,0.0,1674500.0,9015.0,7395.0,65.51,1.31,3.11,0.08,0.08,2.34,2.01,2.46,7.96,51.03,1147.0,1129.0,1.21
NOK,1.04,0.0,0.0,0.0,0.0,,,-2.3,0.49,0.0,-9.52,17.09,-22.59,,11.75,,,
NOVA,11.3,3.67,10300.0,113.0,1920.0,11.93,1.31,0.81,,0.95,9.23,13.33,21.08,,22.99,391.0,408.0,0.03
NPK,16.5,1.85,400.0,7.0,165.0,,0.42,0.22,,0.0,-1.24,-5.75,-13.04,,23.39,,,
NRF,5.75,-1.71,758300.0,4350.0,8081.0,21.15,2.63,0.78,0.04,0.27,10.21,13.14,13.69,0.71,33.21,556.0,534.0,0.15
NSI,214.0,0.0,3100.0,663.0,2975.0,26.5,2.43,1.88,2.50,8.08,2.49,8.69,3.79,3.50,38.89,760.0,962.0,1.81
NSL,25.0,2.88,995600.0,24672.0,7470.0,28.32,5.65,0.64,0.25,0.88,16.78,20.86,7.47,2.00,24.19,528.0,493.0,
NTSC,35.75,4.38,1759600.0,59858.0,0.0,,-,,-,0.0,,,,-,25.0,,,
NTV,41.25,-0.6,54200.0,2238.0,6600.0,24.87,2.84,0.14,0.60,1.66,13.49,11.86,11.84,1.45,34.85,631.0,495.0,-2.67
NUSA,1.05,-0.94,9766600.0,10291.0,12228.0,,1.33,0.53,,0.0,-1.31,-8.16,-26.37,,63.81,,,
NV,2.94,3.52,606300.0,1746.0,1764.0,,1.26,0.13,,0.0,-4.98,-4.97,-10.08,12.32,30.41,,,
NVD,1.99,1.02,264300.0,525.0,3075.0,4.48,0.61,1.4,0.01,0.44,8.8,14.56,8.05,0.62,36.14,216.0,266.0,-0.01
NWR,0.77,2.67,5358400.0,4063.0,2017.0,,0.85,6.78,,0.0,1.7,-1.06,1.27,,89.14,,,
NYT,3.32,0.61,617000.0,2054.0,4117.0,18.67,1.28,1.05,0.16,0.18,5.27,6.89,15.29,4.85,40.92,726.0,697.0,-2.57
OCC,10.5,0.0,0.0,0.0,630.0,46.65,0.63,0.19,0.05,0.23,1.45,1.35,-3.04,0.48,30.61,1128.0,1130.0,-1.6
OGC,25.0,0.0,0.0,0.0,533.0,23.62,0.30,0.87,,1.06,1.57,1.26,-2.46,,36.51,991.0,982.0,-0.07
OHTL,464.0,0.43,100.0,46.0,7005.0,,5.05,3.4,,0.0,-2.95,-20.0,-16.7,,20.87,,,
OISHI,47.75,1.6,1600.0,76.0,17906.0,15.9,2.16,0.32,1.10,3.0,13.96,15.86,9.35,3.40,20.34,434.0,361.0,0.16
ONEE,7.65,-0.65,2794100.0,21453.0,18217.0,22.81,2.61,0.33,0.12,0.34,11.8,16.45,12.41,0.90,20.9,515.0,498.0,0.74
OR,22.5,0.0,17983200.0,404673.0,270000.0,26.04,2.60,1.14,0.15,0.86,8.74,13.33,1.9,2.22,23.72,602.0,637.0,4.65
ORI,11.8,0.0,5951600.0,70140.0,29204.0,8.23,1.79,1.4,0.15,1.45,13.49,24.64,25.79,4.58,38.36,158.0,193.0,0.15
OSP,30.75,-2.38,13816200.0,421298.0,92365.0,37.73,5.13,0.43,0.45,0.82,11.66,13.2,7.6,3.49,50.49,692.0,624.0,10.12
OTO,17.1,0.0,1256300.0,21409.0,9464.0,,11.90,0.11,,0.0,-16.03,-15.78,-24.78,,53.18,,,
PACE,0.03,0.0,0.0,0.0,0.0,,,-3.43,,0.0,-26.53,90.06,-1256.02,,51.31,,,
PACO,2.66,0.0,404700.0,1083.0,2660.0,27.64,2.86,1.19,0.05,0.1,8.81,10.59,12.0,3.01,27.06,710.0,650.0,0.69
PAE,0.01,0.0,0.0,16714.0,66.0,,,,,0.0,,,,,93.27,,,
PAF,1.52,1.33,58400.0,88.0,815.0,33.45,1.30,0.45,0.02,0.05,4.44,4.08,4.02,0.99,57.16,989.0,910.0,-0.51
PAP,3.8,0.0,47900.0,182.0,2521.0,,1.21,0.98,0.84,0.0,-6.22,-12.57,-3.72,22.11,26.16,,,
PATO,10.4,-0.95,9400.0,98.0,1481.0,23.6,3.08,0.25,0.82,0.44,11.98,12.31,9.88,7.88,47.39,601.0,506.0,6.82
PB,70.0,1.08,22500.0,1574.0,31950.0,19.28,3.05,0.11,0.86,3.68,16.71,16.39,22.14,2.71,18.2,475.0,387.0,5.75
PCC,3.24,0.62,460000.0,1490.0,0.0,,-,,-,0.0,,,,-,53.99,,,
PCSGH,5.6,0.0,238000.0,1336.0,8464.0,16.43,1.80,0.19,0.15,0.34,11.51,11.06,15.55,5.36,20.14,545.0,419.0,0.3
PDG,3.32,-2.35,204400.0,683.0,992.0,24.42,1.70,0.17,0.05,0.14,8.39,8.85,6.33,3.92,44.75,735.0,631.0,-5.37
PDJ,3.5,1.16,849800.0,2946.0,1919.0,9.54,0.83,0.81,0.10,0.37,7.0,9.07,5.32,2.86,67.58,464.0,417.0,-0.06
PE,0.01,0.0,16126800.0,161.0,0.0,,,,0.5,0.0,,,,,40.06,,,
PEACE,4.9,0.0,401600.0,1972.0,2490.0,6.52,1.17,0.09,0.20,0.76,23.03,20.99,22.26,3.40,41.33,154.0,80.0,
PERM,1.17,-0.85,400600.0,466.0,905.0,,0.76,2.84,0.12,0.0,-3.72,-18.18,-8.95,10.11,52.08,,,
PF,0.43,2.38,7908800.0,3330.0,4305.0,,0.33,2.66,0.02,0.0,1.68,-1.42,-8.62,3.45,62.24,,,
PG,8.0,0.63,4300.0,34.0,768.0,14.77,0.53,0.15,0.10,0.54,3.33,3.66,9.42,1.26,32.26,775.0,753.0,-0.03
PHOL,3.04,0.66,175800.0,528.0,624.0,11.54,1.82,0.97,0.08,0.27,10.75,16.25,5.46,10.53,50.29,325.0,338.0,0.09
PICO,5.1,-2.86,5100.0,26.0,1141.0,57.43,3.10,1.08,,0.09,3.96,5.65,1.8,,12.29,1012.0,1008.0,-1.31
PIMO,2.56,0.0,1740400.0,4472.0,1807.0,15.16,2.10,0.46,0.02,0.17,13.57,17.38,9.34,2.23,37.8,384.0,348.0,0.36
PIN,3.44,0.0,115800.0,396.0,3990.0,26.47,1.74,1.29,0.15,0.13,5.03,8.57,18.28,4.36,17.91,762.0,808.0,
PJW,4.1,0.99,425700.0,1736.0,2418.0,19.9,1.93,1.62,,0.2,6.65,10.11,2.74,3.65,47.21,644.0,644.0,-0.14
PK,1.6,1.27,51600.0,81.0,828.0,,0.65,1.69,0.07,0.0,-1.99,-7.91,-7.25,4.06,38.44,,,
PL,2.66,-1.48,1100.0,3.0,1575.0,12.26,0.51,3.0,0.11,0.22,1.21,4.17,4.21,4.14,63.08,715.0,817.0,-3.14
PLANB,9.3,1.09,35674600.0,330290.0,40654.0,66.29,5.08,0.86,0.07,0.14,7.05,9.3,9.95,,55.9,891.0,851.0,-6.58
PLANET,1.56,4.7,1234900.0,1898.0,605.0,91.82,0.89,0.45,,0.02,2.34,1.05,1.73,,61.63,1203.0,1148.0,-1.23
PLAT,3.64,4.0,1573100.0,5612.0,10136.0,,1.36,0.56,,0.0,-2.27,-5.54,-62.23,,32.71,,,
PLE,0.67,0.0,695000.0,467.0,912.0,63.27,0.36,4.36,0.02,0.01,1.64,0.57,-2.39,2.84,73.09,1188.0,1162.0,-9.69
PLUS,8.35,1.21,561000.0,4636.0,5561.0,27.52,4.54,0.23,,0.3,19.73,19.28,14.57,,41.26,536.0,461.0,
PM,9.55,0.0,103900.0,993.0,5683.0,18.54,3.54,1.03,0.28,0.51,14.5,22.33,5.16,4.50,36.21,396.0,397.0,3.23
PMTA,10.5,-2.78,16000.0,170.0,1063.0,8.78,0.59,0.69,0.50,1.2,6.19,7.04,1.86,4.76,14.61,513.0,435.0,0.72
POLAR,0.09,0.0,0.0,0.0,0.0,,,0.19,0.35,0.0,-0.9,-1.08,-300.77,,99.77,,,
POLY,12.4,0.0,564600.0,7020.0,0.0,,-,,-,0.0,,,,-,25.46,,,
PORT,2.02,0.0,52800.0,108.0,1227.0,,0.88,1.44,0.03,0.0,1.33,-0.7,-0.66,1.24,43.85,,,
POST,1.1,0.0,0.0,0.0,0.0,,,-2.33,0.14,0.0,-3.96,10.78,-7.77,,30.35,,,
PPM,1.97,0.0,145100.0,289.0,844.0,63.26,0.93,1.31,0.03,0.03,2.46,1.49,-1.9,1.68,37.02,1160.0,1111.0,-0.24
PPP,1.97,-1.5,267800.0,525.0,591.0,,0.63,0.3,,0.0,-0.71,-2.54,-1.52,,39.48,,,
PPPM,0.12,0.0,9489000.0,1145.0,1301.0,,2.00,1.61,,0.0,-28.19,-158.28,-50.32,,71.45,,,
PPS,0.7,4.48,1742500.0,1212.0,610.0,25.22,1.87,1.13,,0.03,7.28,7.68,5.99,,59.91,773.0,677.0,-0.19
PQS,5.2,2.97,66217500.0,341549.0,0.0,,-,,-,0.0,,,,-,34.19,,,
PR9,20.1,-0.5,542100.0,10889.0,15805.0,29.01,3.44,0.17,0.14,0.69,12.89,12.44,14.11,0.70,58.74,660.0,547.0,3.3
PRAKIT,12.7,0.79,9900.0,126.0,780.0,,0.96,0.35,0.60,0.0,-1.53,-2.49,-19.24,4.72,58.37,,,
PRAPAT,1.99,12.43,22399700.0,44608.0,737.0,30.39,1.55,1.41,0.01,0.06,2.9,1.49,1.86,0.27,58.42,1193.0,1122.0,-0.53
PREB,9.2,1.1,1030100.0,9302.0,2871.0,6.95,1.16,1.53,0.40,1.34,8.97,17.54,7.34,4.35,73.64,197.0,290.0,-0.44
PRECHA,1.25,0.0,10600.0,13.0,420.0,,1.17,0.28,,0.0,-6.02,-8.31,-62.97,,53.73,,,
PRG,11.4,0.88,4000.0,45.0,7514.0,12.45,0.94,0.3,,0.92,6.51,8.52,25.35,,5.53,556.0,512.0,1.75
PRI,33.75,5.47,2731700.0,89106.0,0.0,,-,,-,0.0,,,,-,25.0,,,
PRIME,1.52,1.33,533200.0,809.0,6424.0,373.27,2.04,1.67,,0.0,-0.58,0.55,23.76,,27.25,1240.0,,-15.36
PRIN,3.02,1.34,38600.0,114.0,3880.0,9.81,0.77,1.29,0.08,0.32,5.67,8.08,15.6,2.48,33.19,491.0,475.0,0.39
PRINC,5.95,0.0,2588700.0,15311.0,22471.0,39.31,2.31,0.72,,0.15,5.35,5.9,8.33,,17.44,956.0,874.0,0.33
